test_id,query_id,pre1_ns,pre2_ns,pre3_ns,pre1_fix_ns,post1_ipc_ns,post2_ipc_ns,post3_ipc_ns,post4_ipc_ns,post1_tcp_ns,post2_tcp_ns,post3_tcp_ns,request_counter
1814,2,21650166,21755351,21476179,21672747,9386646,8484106,8161155,9531780,7838539,7994401,8127804,1
1814,3,21625207,21027017,20699124,20929416,7677141,7748600,7582969,8774700,7519473,7572479,7676817,1
1814,4,21521143,20901523,20578994,20953105,7699532,7631105,7717374,8133267,7525949,7657136,7579127,1
1814,5,21218726,20866339,20533308,20932202,7888805,7472793,7830742,7848374,7179627,7446877,7592503,1
1814,6,21210959,20883193,20495604,20912741,7475097,7586517,7982252,8260551,7193732,7510875,7773720,1
1814,7,22027680,21328875,20976513,21673574,8612801,8267898,8574959,8412785,7797878,8090235,8275652,1
1814,8,21459643,20794637,20624098,21147779,7636244,7699359,7569111,8099639,7214417,7593272,7601507,1
1814,9,22604388,20775179,20486572,20913835,7543649,7534555,7735814,7550830,7386470,7438400,7537016,1
1814,10,26786618,24988664,24465600,25081115,12042893,11597090,12385413,11876004,11193720,11414980,11252855,1
1814,11,24490065,23635698,22968807,23615672,10807604,10497721,11065634,10343801,9821337,9987711,9938491,1
1814,12,24028790,23088052,22444549,22877710,9604745,9727959,9877403,9408871,9104985,9451425,9659619,1
1814,13,24472804,22980599,22899005,23223470,9839842,9778279,10127578,10036482,9293905,9599897,10030649,1
1814,14,25182336,23148357,22619654,23856488,10139704,10007730,10404046,10180447,9284748,9539443,9404527,1
1814,15,24228119,22948692,22525390,23418418,10655728,9717102,10051738,9637276,9481246,9759046,9518294,1
1814,16,28704184,27809314,27230370,27702243,13966575,14289817,14598646,14722385,14179575,14213531,14666996,1
1814,17,23731616,23320433,22655911,23174296,10307199,10003189,10962005,10783997,9738560,10008076,9753886,1
1814,18,23320501,23059182,22483229,22920296,10361825,9883185,9999030,9605269,9413247,9568020,9938754,1
1814,19,23840954,22976810,22732991,22768890,10427435,9882904,9955601,10047667,9319240,9551475,9974383,1
1814,20,24508876,22999636,22600474,22971788,9937528,9619476,10173193,10206616,9721807,9661562,9527177,1
1814,21,23873665,23103669,22621282,22847006,9969077,9872246,9798592,10805200,9291802,9617335,9884882,1
1814,22,24251434,22969954,22413506,22781208,9786812,9913260,9890331,11126429,9163423,9551565,9713639,1
1814,23,23343178,23059455,22544196,22913977,10342550,9858304,10328462,10604873,9310510,9699119,9519542,1
1814,24,23743339,22844104,22361785,22874554,10088929,9896262,9855144,10024712,9270092,9575018,9559899,1
1814,25,23829212,22784088,22297276,22776594,10045569,9439740,10008609,10421165,9344452,9730336,9965784,1
1814,26,28902181,27594627,26950840,27663379,14564125,14201250,14650919,15066979,13953494,14194006,14393650,1
1814,27,23886123,23197558,22678829,23101232,9983342,9747757,9899997,10324758,9560297,10009371,9774239,1
1814,28,27565982,23013852,22492997,22963964,9951579,9491344,9757648,10321961,9369687,9796630,9705205,1
1814,29,29336437,22719547,22317170,22728323,9936358,9354222,9616986,10414609,9388296,9524457,9495608,1
1814,30,36034937,22896300,22380300,24430899,10367014,9419962,10081568,9911032,9215732,9652294,9992419,1
1814,31,28777893,22802909,22317725,22621825,9846373,9472507,9830327,10068010,9395035,9415666,9403236,1
1814,32,24944531,22854280,22420479,22485936,9889684,9508251,10141876,10517541,9257602,9537408,9554615,1
1814,33,24178333,22707910,22365604,22481359,10083284,9338286,10024440,9948909,9340461,9662537,9329594,1
1814,34,24094107,22787295,22442095,22410908,10289875,9315793,9664533,9952584,9287727,9581251,9511004,1
1814,35,23214565,22944887,22526012,23092737,10430750,9197865,10198672,10524216,9326508,9633702,9593397,1
1814,36,27818511,22845672,22571276,23022618,10430356,9078606,9405332,10061727,9551290,9409869,9349387,1
1814,37,26610498,22838715,22468014,22903470,10063394,9377672,10136966,10073538,9372934,9558644,9866051,1
1814,38,24226512,24202968,22521834,22622211,10518654,9470263,10474370,10085028,9138239,9819304,9765461,1
1814,39,23818830,23388439,22295315,22455025,10512713,8977494,9850461,10359955,8950632,9707201,9983557,1
1814,40,23588031,22251116,22405744,22910144,10347260,9366800,9398953,10686478,8967400,9589898,10350575,1
1814,41,23729757,22420324,22345624,22494465,9640214,9088787,9397740,10044811,9112535,9559691,9685127,1
1814,42,24686715,22756953,23049011,22469298,10545386,9089329,9421321,10940894,9175203,9500207,9987720,1
1814,43,24297340,23001061,23367200,22505606,9920835,9397621,9602308,11285844,9255492,9677883,9657979,1
1814,44,24173136,22617294,22742259,22304817,10821084,9294075,9464045,10246589,9100922,9721925,9988608,1
1814,45,23456438,22462543,22571495,22393402,10285156,9923437,9865355,9945683,9119782,9566076,9519819,1
1814,46,23592690,22453193,22528660,22390235,9876509,9327476,9749812,11242315,9103897,9713003,10178882,1
1814,47,25042497,24109140,24057629,24060239,11375758,11664375,11066823,12938326,10906062,11149928,11630077,1
1814,48,23445593,22396929,22252556,22122437,9690214,9227746,9525517,10369377,8941310,9456428,9403705,1
1814,49,23332390,22269440,22216096,22233005,10160598,9060715,9457753,10837771,8855583,9374779,9168249,1
1814,50,24255236,22276763,22303032,22176902,9858852,8849571,9394722,10548023,8870410,9308502,9456594,1
1814,51,26664293,22360796,22455570,22188941,10425273,9019081,9620416,10273700,8946840,9413143,9263402,1
1814,52,27774922,22496103,22261437,22359431,9886700,9059849,9467610,10198394,8991482,9359174,9672210,1
1814,53,27248253,22524292,22283823,22430943,10302699,8952869,9445304,10298341,8976366,9308194,9453618,1
1814,54,27792168,22387403,22348270,22154917,9505531,9008449,9366220,9884273,8870708,9457411,9548209,1
1814,55,25612302,22373519,22242978,22345817,9734045,9114555,9239160,9583786,8907961,9342480,9273678,1
1814,56,26093348,22386764,22312931,22156311,9945548,9060764,9212158,9647517,8839641,9507298,9177417,1
1814,57,24854574,22285487,22337302,22758984,9442862,9106516,9241562,10305495,8979487,9399206,9340929,1
1814,58,26096599,22286886,22401100,22866471,10072376,9128166,9178568,9454502,9005224,9375601,9360033,1
1814,59,24723423,22475948,22255300,22648352,9946196,8982545,9277887,9611028,8882188,9387478,9324548,1
1815,1,178571299,171891712,170811014,168001643,307072074,327476374,299365715,334956557,169534975,170794925,167573338,2
1815,2,74055742,72312547,72302593,71615862,58233891,59012127,58342996,61368717,60003564,60158965,58149141,1
1815,3,22877788,22515232,22472955,22580846,9578896,9170210,9075188,10883048,9894644,9253136,8973562,1
1815,4,48525631,46757807,46746340,46761241,33033698,33815614,33653297,35041987,34029168,33858261,33019028,1
1815,5,84466967,78076034,80140257,80060044,73964027,74495430,72821405,81027786,71433730,72460121,69652705,57
1815,6,22441512,20879588,20683990,20893372,7898155,7297471,7698168,8231574,7428091,7540392,7246556,1
1815,7,21893143,20946941,20914145,21186060,7699237,7609303,7627623,8693509,7492953,7525159,7427381,1
1815,8,55895478,45275091,44556858,53419926,36500748,35344416,35435853,39328391,36699772,35787279,35944791,1
1815,9,20728830,20568437,20266250,20223456,6994959,7148517,6905566,8282964,6681538,7091022,6956571,1
1815,10,20545220,20123972,20071852,20304358,6860914,6787954,6895126,7387104,6657037,6870402,6712082,1
1815,11,21211547,20765259,20383424,20458760,6951641,7008883,6900741,8268643,6641762,7126286,6899059,1
1815,12,34261899,33010165,32770111,33261146,18833023,19251213,18835820,20547141,18824148,19362116,18930798,1
1815,13,26043066,24309055,24465800,24590756,14308187,13572163,12976625,13994175,11969368,13198330,12084805,29
1815,14,20635516,20112866,20040053,20370928,6913240,6858560,7105819,7022232,6905721,6912956,6815476,1
1815,15,22581716,21838531,21876202,22095507,8742692,9497663,8957056,9553706,9217320,8808264,8371933,1
1815,16,50228229,41545370,41097566,50827768,28129232,27003700,28237021,31579575,27871511,27102944,27259906,1
1815,17,20387727,20489963,20318522,20058574,7052406,7125048,7059518,7222639,7001470,7257348,6824709,1
1815,18,20126357,20086873,20047368,20021307,7032839,6689497,7314732,7326665,6604618,6872526,6721085,1
1815,19,20282059,19929001,20097680,20032623,6957738,6723388,7298551,7161745,6745102,6634937,6647261,1
1815,20,24628739,24109777,24056925,24404572,11252662,10699891,10943855,10968054,10679128,10621583,10431195,1
1815,21,21829555,21405608,21511053,21680838,8400818,8175048,8520306,9172681,10398303,8303060,8043586,1
1947,1,81553457,80557393,79642642,104845520,249508861,207949343,228677845,273383641,77464731,77491088,79948032,127
1947,2,40817930,39981508,39625786,43874363,32870496,32002171,33983712,34110567,31692942,31344854,32143357,132
1947,3,27621813,26112424,27393737,28473156,18582546,17114931,18045299,17783164,17192281,17770464,17909381,186
1947,4,25119119,25500961,27373270,27722246,15777614,16130891,16456156,16646708,17524465,16360533,16882335,172
